Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Sub-Saharan Africa,SSF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3767.177327
Sub-Saharan Africa (excluding high income),SSA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3765.058366
Sub-Saharan Africa (IDA & IBRD countries),TSS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3767.177327
Sudan,SDN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3570.607422
Suriname,SUR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,15047.61395
Sweden,SWE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,55359.34265
Switzerland,CHE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,72278.20726
Syrian Arab Republic,SYR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
Tajikistan,TJK,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,4137.2776
Tanzania,TZA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2623.861572
Thailand,THA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,17507.62019
Timor-Leste,TLS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,3943.092434
Togo,TGO,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,2202.726816
Tonga,TON,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..
